,area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,city,locality,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count,division,zone
21424,1100.0,Apartment,Residential,3.0,3.0,5500000.0,Dhaka,Banashree,0,0,0,0,0,0,0,Dhaka,Khilgaon
21425,1362.0,Apartment,Residential,4.0,3.0,10010700.0,Dhaka,Banashree,0,0,0,0,0,0,0,Dhaka,Khilgaon
21427,1225.0,Apartment,Residential,2.0,3.0,5880000.0,Dhaka,Khilkhet,0,0,0,0,0,0,0,Dhaka,Khilkhet
21428,1060.0,Apartment,Residential,2.0,3.0,6201000.0,Dhaka,Mirpur,0,0,0,0,0,0,0,Dhaka,Mirpur
21429,1530.0,Apartment,Residential,3.0,3.0,6885000.0,Dhaka,Uttara East,0,0,0,0,0,0,0,Dhaka,Uttara
21432,700.0,Apartment,Residential,1.0,3.0,2100000.0,Dhaka,Kamrangir Char,0,0,0,0,0,0,0,Dhaka,Old Dhaka
21447,1951.0,Apartment,Residential,4.0,3.0,20095300.0,Dhaka,Uttara East,0,0,0,0,0,0,0,Dhaka,Uttara
21449,1200.0,Apartment,Residential,3.0,3.0,6960000.0,Dhaka,Banashree,0,0,0,0,0,0,0,Dhaka,Khilgaon
21456,1275.0,Apartment,Residential,3.0,3.0,7203750.0,Dhaka,Badda,0,0,0,0,0,0,0,Dhaka,Badda
21458,1350.0,Apartment,Residential,4.0,3.0,11002500.0,Dhaka,Wari,0,0,0,0,0,0,0,Dhaka,Sutrapur
21460,550.0,Apartment,Residential,1.0,2.0,1925000.0,Dhaka,Banashree,0,0,0,0,0,0,0,Dhaka,Khilgaon
21461,1194.0,Apartment,Residential,4.0,3.0,10149000.0,Dhaka,Wari,0,0,0,0,0,0,0,Dhaka,Sutrapur
21462,1481.0,Apartment,Residential,3.0,3.0,15002530.0,Dhaka,Wari,0,0,0,0,0,0,0,Dhaka,Sutrapur
21463,820.0,Apartment,Residential,2.0,2.0,4920000.0,Dhaka,Wari,0,0,0,0,0,0,0,Dhaka,Sutrapur
21464,1125.0,Apartment,Residential,2.0,3.0,5199750.0,Dhaka,Banashree,0,0,0,0,0,0,0,Dhaka,Khilgaon
21466,1200.0,Apartment,Residential,4.0,3.0,7999200.0,Dhaka,Dhanmondi,0,0,0,0,0,0,0,Dhaka,Dhanmondi
21480,1650.0,Apartment,Residential,2.0,3.0,11550000.0,Dhaka,Banashree,0,0,0,0,0,0,0,Dhaka,Khilgaon
